full_name,rating,jersey,team,position,b_day,height,weight,salary,country,draft_year,draft_round,draft_peak,college,DELETE,shot_close,shot_mid,shot_3pt,shot_iq,free_throw,offensive_consistency,driving_layup,standing_dunk,driving_dunk,draw_foul,post_moves,post_hook,post_fade,hands,speed,acceleration,vertical,strength,stamina,hustle,overall_durability,speed_with_ball,ball_handle,passing_accuracy,passing_vision,passing_iq,interior_defense,perimeter_defense,help_defense_iq,pick_and_roll_defense_iq,lateral_quickness,pass_perception,reaction_time,steal,block,shot_contest,defensive_consistency,offensive_rebound,defensive_rebound,intangibles,potential,standing_dunk_t,driving_dunk_t,flashy_dunk_t,alley_oop_t,putback_dunk_t,crash_t,driving_layup_t,spin_layup_t,hop_step_layup_t,euro_step_layup_t,floater_t,step_through_shot_t,shot_under_basket_t,shot_close_t,shot_close_left_t,shot_close_middle_t,shot_close_right_t,shot_mid_t,spot_up_shot_mid_t,off_screen_shot_mid_t,shot_3pt_t,spot_up_shot_3pt_t,off_screen_shot_3pt_t,contested_jumper_mid_t,contested_jumper_3pt_t,stepback_jumper_mid_t,stepback_jumper_3pt_t,spin_jumper_t,transition_pull_up_3pt_t,drive_pull_up_3pt_t,drive_pull_up_mid_t,use_glass_t,triple_threat_pump_fake_t,triple_threat_jab_step_t,triple_threat_idle_t,triple_threat_shoot_t,setup_with_sizeup_t,setup_with_hesitation_t,no_setup_dribble_t,drive_t,spot_up_drive_t,off_screen_drive_t,drive_right_t,driving_crossover_t,driving_spin_t,driving_step_back_t,driving_half_spin_t,driving_double_crossover_t,driving_behind_the_back_t,driving_dribble_hesitation_t,driving_in_and_out_t,no_driving_dribble_move_t,attack_strong_on_drive_t,shoot_t,touches_t,roll_vs_pop_t,transition_spot_up_t,iso_vs_elite_defender_t,iso_vs_good_defender_t,iso_vs_average_defender_t,iso_vs_poor_defender_t,play_discipline_t,post_up_t,post_shimmy_shot_t,post_face_up_t,post_back_down_t,post_aggressive_backdown_t,shoot_from_post_t,post_hook_left_t,post_hook_right_t,post_fade_left_t,post_fade_right_t,post_up_and_under_t,post_hop_shot_t,post_step_back_shot_t,post_drive_t,post_spin_t,post_drop_step_t,post_hop_step_t,dish_to_open_man_t,flashy_pass_t,alley_oop_pass_t,pass_interception_t,take_charge_t,on_ball_steal_t,contest_shot_t,block_shot_t,foul_t,hard_foul_t
Patrick Beverley,79,#21,Los Angeles Clippers,G,07/12/88,6-1 / 1.85,180 lbs. / 81.6 kg.,"$12,345,680",USA,2009,2,42,Arkansas,Boban Marjanovic,89,78,58,90,70,85,45,95,45,75,71,78,65,35,25,25,35,86,65,40,65,25,30,55,44,30,82,25,60,52,30,68,70,33,84,70,60,88,88,95,81,80,35,40,75,45,5,10,5,5,5,5,55,68,50,6,2,0,10,35,85,10,83,94,68,74,2,6,0,0,3,1,15,0,0,90,10,0,0,99,10,4,4,50,0,0,0,0,0,0,0,0,99,40,58,53,99,0,1,3,1,5,2,36,0,0,20,20,29,15,15,0,5,10,0,0,5,0,10,5,35,0,0,20,75,35,83,85,94,74
Jaylen Brown,79,#7,Boston Celtics,F,10/24/96,6-6 / 1.98,223 lbs. / 101.2 kg.,"$6,534,829",USA,2016,1,3,California,Dwyane Wade,74,57,68,98,68,85,84,35,50,72,74,67,74,98,77,77,75,65,98,85,68,77,78,77,73,77,65,69,80,81,84,77,92,46,58,95,60,43,55,98,94,0,70,25,5,5,55,65,70,85,95,85,33,45,55,5,7,4,30,50,5,25,60,0,90,30,25,10,55,5,0,25,70,50,50,20,50,15,25,20,65,55,45,75,30,10,50,5,5,5,10,0,0,65,80,85,55,20,10,10,20,30,45,15,5,0,55,20,75,11,11,94,66,0,15,10,50,15,0,5,45,55,65,69,10,73,78,34,60,76
Willie Cauley-Stein,79,#0,Dallas Mavericks,C,08/18/93,7-0 / 2.13,242 lbs. / 109.8 kg.,"$2,177,483",USA,2015,1,6,Kentucky,Vince Carter,74,76,78,98,80,75,76,65,85,52,65,46,59,80,83,83,90,60,95,75,85,77,76,64,70,67,60,78,68,74,67,75,80,63,55,80,70,62,68,95,95,40,90,90,75,35,40,45,55,70,70,35,85,30,70,4,4,5,50,86,59,30,75,78,25,25,60,4,30,5,5,11,5,5,10,55,30,30,30,40,55,55,55,54,25,5,50,15,0,0,30,15,80,60,85,99,0,15,2,23,34,68,3,0,0,0,0,0,0,0,30,5,5,0,0,0,0,0,0,0,70,25,5,66,58,64,72,59,78,25
Goran Dragic,79,#7,Miami Heat,G,05/06/86,6-3 / 1.91,190 lbs. / 86.2 kg.,"$19,217,900",Slovenia,2008,2,45,,Tracy McGrady,74,75,75,98,70,75,83,60,85,76,64,50,62,98,84,84,90,60,90,80,80,78,75,58,67,65,66,65,70,64,65,75,55,64,57,55,65,65,62,98,97,40,90,90,62,14,30,60,74,84,80,75,71,30,5,4,4,5,40,54,54,30,54,27,30,35,4,4,35,5,5,11,30,10,35,75,25,45,25,35,55,4,4,55,45,25,65,30,5,15,25,25,70,60,50,50,72,5,6,5,10,4,3,80,25,24,26,5,4,50,50,50,50,21,15,15,15,15,5,10,67,88,62,55,5,54,54,54,27,35
Shai Gilgeous-Alexander,79,#2,Oklahoma City Thunder,G,07/12/98,6-5 / 1.96,180 lbs. / 81.6 kg.,"$3,952,920",Canada,2018,1,11,Kentucky,Derrick Rose,50,79,70,98,66,90,85,25,70,78,55,55,55,98,90,90,90,50,90,92,95,90,85,82,84,84,50,67,66,68,76,64,79,75,45,79,40,42,39,98,94,0,80,80,65,20,75,75,80,95,95,80,94,34,85,6,3,1,55,55,40,15,25,25,55,30,20,0,40,0,0,10,20,10,55,10,35,60,30,20,99,75,75,50,80,50,35,30,50,20,70,45,85,75,92,99,45,10,35,55,75,55,0,0,0,0,0,0,10,0,0,20,0,0,0,0,0,0,0,0,45,50,35,80,50,84,70,40,40,40
Gary Harris,79,#14,Denver Nuggets,G,09/14/94,6-4 / 1.93,205 lbs. / 93 kg.,"$17,839,286",USA,2014,1,19,Michigan State,Hakeem Olajuwon,83,74,40,70,71,80,65,75,58,57,82,78,73,75,70,70,85,85,90,79,90,44,61,52,48,54,80,75,78,78,58,60,75,65,78,74,75,76,79,90,97,90,50,50,58,63,5,65,43,47,56,45,55,68,90,6,2,0,70,5,77,0,3,0,54,0,2,0,70,0,0,0,61,55,0,75,0,50,28,60,43,43,43,25,0,0,0,0,0,0,0,0,75,80,99,99,99,0,2,19,29,58,99,99,95,85,75,55,99,50,60,99,99,63,50,50,70,90,75,63,20,5,5,60,0,59,97,97,39,30
Joe Ingles,79,#2,Utah Jazz,F,10/02/87,6-7 / 2.01,209 lbs. / 94.8 kg.,"$11,454,546",Australia,2009,Undrafted,Undrafted,,Paul Millsap,78,73,73,96,67,74,73,64,67,73,81,82,78,89,53,39,60,81,89,83,95,53,58,55,35,68,76,72,74,81,71,74,68,60,59,68,74,62,70,95,84,65,70,0,50,20,5,40,0,0,0,35,39,47,70,18,24,58,40,65,45,35,65,30,20,20,75,0,0,0,0,25,45,65,65,15,0,0,5,0,55,30,20,95,0,0,0,0,0,0,10,0,99,65,65,75,25,0,15,15,25,35,60,55,10,55,25,0,80,4,14,47,56,40,25,0,35,25,15,20,35,5,15,58,60,63,66,37,60,55
Jeremy Lamb,79,#26,Indiana Pacers,G,05/30/92,6-5 / 1.96,180 lbs. / 81.6 kg.,"$10,500,000",USA,2012,1,12,UConn,Paul Millsap,78,73,73,96,67,74,73,64,67,73,81,82,78,89,53,39,60,81,89,83,95,53,58,55,35,68,76,72,74,81,71,74,68,60,59,68,74,62,70,95,84,65,70,0,50,20,5,40,0,0,0,35,39,47,70,18,24,58,40,65,45,35,65,30,20,20,75,0,0,0,0,25,45,65,65,15,0,0,5,0,55,30,20,95,0,0,0,0,0,0,10,0,99,65,65,75,25,0,15,15,25,35,60,55,10,55,25,0,80,4,14,47,56,40,25,0,35,25,15,20,35,5,15,58,60,63,66,37,60,55
Brook Lopez,79,#11,Milwaukee Bucks,C,04/01/88,7-0 / 2.13,265 lbs. / 120.2 kg.,"$12,093,024",USA,2008,1,10,Stanford,Eric Paschall,84,82,67,85,81,75,75,85,85,75,78,78,78,95,74,74,87,74,85,80,80,68,68,64,44,62,64,65,65,81,63,40,68,37,51,68,40,47,63,95,80,65,80,80,10,20,5,40,0,0,0,35,39,56,70,27,52,22,40,65,45,35,65,30,20,20,75,0,0,0,0,25,45,65,65,15,0,0,5,0,55,30,20,95,0,0,0,0,0,0,10,0,99,65,65,75,25,0,15,15,25,35,60,55,10,55,25,0,80,4,14,47,56,40,25,0,35,25,15,20,35,5,15,58,60,63,66,37,60,55
JaVale McGee,79,#7,Los Angeles Lakers,C,01/19/88,7-0 / 2.13,270 lbs. / 122.5 kg.,"$4,000,000",USA,2008,1,18,Nevada,Troy Brown Jr.,58,67,74,95,74,95,79,30,75,54,54,54,59,98,70,71,71,58,95,97,80,61,80,75,69,75,54,72,72,70,81,71,74,62,40,73,65,50,67,95,80,0,70,5,0,5,25,25,0,0,0,5,0,25,20,3,3,6,15,45,40,40,70,35,36,20,0,0,0,0,0,0,15,0,0,50,0,0,0,0,45,15,45,90,15,0,0,0,0,0,15,0,95,15,55,55,0,10,0,0,10,20,99,0,0,0,0,0,10,4,0,8,0,0,0,0,0,0,0,0,40,0,15,42,10,62,78,23,60,71
Mitchell Robinson,79,#23,New York Knicks,C,04/01/98,7-0 / 2.13,223 lbs. / 101.2 kg.,"$1,559,712",USA,2018,2,36,,Markelle Fultz,78,72,70,95,57,85,87,30,60,79,44,42,48,95,86,85,85,56,92,75,80,85,87,84,74,83,50,67,69,68,78,69,78,56,47,67,40,57,51,95,85,0,60,55,5,15,15,70,55,55,45,75,41,55,85,6,4,5,10,45,40,5,65,40,35,45,45,10,35,15,10,20,15,55,55,15,55,80,25,0,70,50,50,51,55,20,45,15,0,10,35,35,55,60,70,75,0,15,15,15,25,35,35,0,0,0,0,0,10,0,0,15,15,0,20,0,30,0,0,0,40,50,55,57,0,46,65,16,60,20
Terrence Ross,79,#8,Orlando Magic,G,02/05/91,6-6 / 1.98,206 lbs. / 93.4 kg.,"$12,500,000",USA,2012,1,8,Washington,Marc Gasol,87,76,77,90,73,67,68,82,55,47,85,86,81,91,35,25,35,87,92,81,75,29,41,62,68,71,82,57,81,88,60,71,94,46,69,96,77,39,83,95,86,65,75,0,25,5,15,15,0,0,0,15,0,21,60,14,7,79,20,60,20,50,60,10,40,10,0,0,0,0,0,0,10,5,5,50,0,0,0,0,45,20,60,95,0,0,0,0,0,0,0,0,99,75,75,85,20,65,5,5,15,25,65,85,10,0,35,40,90,47,61,100,71,70,25,0,45,25,50,40,55,40,5,59,20,33,85,50,55,72
Tristan Thompson,79,#13,Cleveland Cavaliers,F,03/13/91,6-9 / 2.06,225 lbs. / 102.1 kg.,"$18,539,130",Canada,2011,1,4,Texas,Marc Gasol,87,76,77,90,73,67,68,82,55,47,85,86,81,91,35,25,35,87,92,81,75,29,41,62,68,71,82,57,81,88,60,71,94,46,69,96,77,39,83,95,86,65,75,0,25,5,15,15,0,0,0,15,0,21,60,14,7,79,20,60,20,50,60,10,40,10,0,0,0,0,0,0,10,5,5,50,0,0,0,0,45,20,60,95,0,0,0,0,0,0,0,0,99,75,75,85,20,65,5,5,15,25,65,85,10,0,35,40,90,47,61,100,71,70,25,0,45,25,50,40,55,40,5,59,20,33,85,50,55,72
PJ Tucker,79,#17,Houston Rockets,F,05/05/85,6-5 / 1.96,225 lbs. / 102.1 kg.,"$8,349,039",USA,2006,2,35,Texas,Dwight Powell,84,70,73,95,77,90,70,75,60,73,74,70,70,90,71,48,67,64,85,95,80,44,63,55,41,64,74,45,68,68,58,74,69,41,66,69,65,84,82,97,80,55,90,10,99,25,5,40,0,0,0,5,0,50,15,1,3,2,5,50,30,20,50,15,16,30,0,0,0,0,0,0,25,5,5,50,0,0,0,0,35,35,50,95,0,0,0,0,0,0,0,0,99,60,45,55,20,0,0,0,5,15,99,10,0,0,35,0,65,13,18,0,0,25,0,5,40,30,20,15,15,5,5,71,40,69,65,41,80,65
Fred VanVleet,79,#23,Toronto Raptors,G,02/25/94,6-1 / 1.85,197 lbs. / 89.4 kg.,"$9,346,153",USA,2006,Undrafted,Undrafted,Wichita State,Lonnie Walker IV,80,80,82,92,78,90,79,40,80,52,48,48,53,85,94,93,83,64,85,70,80,77,78,70,45,67,55,74,62,66,80,65,76,75,62,73,35,25,65,90,82,0,60,0,15,15,20,60,55,50,15,35,24,35,15,1,2,1,15,55,55,75,70,45,65,40,75,15,35,12,5,20,15,75,95,10,95,15,20,20,40,55,60,75,30,40,55,25,15,0,60,30,99,60,55,60,20,35,0,0,10,20,20,0,0,25,20,15,75,0,4,21,21,0,20,0,35,0,0,0,35,25,40,45,0,60,45,25,45,55
Andrew Wiggins,79,#22,Golden State Warriors,F,02/23/95,6-7 / 2.01,197 lbs. / 89.4 kg.,"$27,504,630",Canada,2014,1,1,Kansas,Terrance Ferguson,74,74,80,95,73,90,78,75,95,65,45,58,44,85,79,79,96,40,86,95,80,67,75,72,60,74,50,79,67,67,82,68,64,37,42,64,70,33,40,98,80,35,80,65,20,5,35,30,20,0,0,0,0,15,5,3,10,3,5,40,40,55,70,45,45,45,0,0,0,12,10,10,5,10,45,15,15,15,25,60,55,45,55,95,15,0,15,0,0,0,15,0,70,45,30,45,40,25,0,0,5,15,99,0,0,0,0,0,5,0,0,10,0,0,15,0,0,0,0,0,55,5,0,45,0,40,70,28,80,20
Thaddeus Young,79,#21,Chicago Bulls,F,06/21/88,6-8 / 2.03,220 lbs. / 99.8 kg.,"$12,900,000",USA,2007,1,12,Georgia Tech,Zhaire Smith,74,71,76,98,72,80,78,40,90,53,44,35,51,80,95,90,95,63,85,85,80,69,75,66,46,48,55,80,68,69,81,70,76,82,53,79,50,39,48,98,80,0,45,0,15,15,10,50,0,0,0,15,0,25,20,1,2,1,15,55,50,15,65,40,15,20,0,0,0,0,0,0,5,5,5,50,0,0,0,0,40,25,45,95,15,0,0,0,0,0,15,0,80,15,45,45,0,35,0,0,10,20,99,0,0,0,0,0,10,6,3,0,11,0,0,0,0,0,0,0,45,10,15,95,60,62,86,30,50,40
RJ Barrett,78,#9,New York Knicks,G,06/14/00,6-6 / 1.98,202 lbs. / 91.6 kg.,"$7,839,960",Canada,2019,1,3,Duke,Myles Turner,86,81,79,98,72,83,68,68,41,74,71,76,81,92,54,30,67,72,93,92,84,30,33,29,33,66,85,50,85,76,57,52,79,40,88,94,83,49,79,98,85,75,80,20,50,20,0,15,0,0,0,5,0,41,25,13,18,69,35,55,20,30,75,0,25,10,5,0,0,0,0,0,35,5,5,50,0,0,0,0,30,40,60,95,0,0,0,0,0,0,0,0,99,75,60,70,20,0,0,0,5,15,55,35,10,50,15,5,80,21,16,0,13,30,0,15,50,0,30,25,15,5,0,63,20,31,74,71,70,45
Ricky Rubio,78,#11,Phoenix Suns,G,10/21/90,6-3 / 1.91,180 lbs. / 81.6 kg.,"$16,200,000",Spain,2009,1,5,,Mikal Bridges,85,69,82,68,81,85,75,40,75,50,54,35,42,80,80,82,85,62,85,75,84,72,75,70,39,68,56,80,78,79,80,83,66,76,52,70,75,37,49,80,82,0,70,30,15,10,25,55,35,25,10,10,16,25,15,3,5,3,20,55,50,75,70,40,30,35,45,0,0,0,0,0,17,40,40,20,0,0,0,15,40,35,35,62,15,0,0,0,0,0,15,0,35,40,60,60,20,15,5,5,15,25,99,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,20,10,5,59,10,57,76,20,55,31
Will Barton,78,#5,Denver Nuggets,G,01/06/91,6-5 / 1.96,175 lbs. / 79.4 kg.,"$12,776,786",USA,2012,2,40,Memphis,Keita Bates-Diop,74,75,76,95,70,90,70,55,65,64,60,62,63,95,77,77,72,60,90,85,78,66,69,58,44,56,63,63,60,64,74,60,68,55,63,70,50,59,65,98,80,40,70,90,35,15,25,50,0,0,0,20,0,50,30,4,13,5,20,55,55,65,60,35,60,25,10,0,40,8,0,30,30,75,35,0,55,0,5,15,40,50,55,55,15,0,15,0,0,0,15,0,75,65,75,80,0,10,15,15,25,35,35,15,5,50,15,5,65,16,23,50,39,25,0,15,25,25,15,20,30,30,20,70,10,63,70,37,40,30
Bogdan Bogdanovic,78,#8,Sacramento Kings,G,08/18/92,6-6 / 1.98,205 lbs. / 93 kg.,"$8,529,386",Serbia,2014,1,27,,Derrick Jones Jr.,84,65,77,87,70,85,79,85,94,72,37,50,57,98,77,76,96,59,80,90,75,61,60,65,29,54,60,59,60,57,71,68,67,56,72,67,30,69,59,95,80,70,80,85,15,65,25,20,5,0,0,5,0,30,25,2,13,3,0,40,30,25,60,30,16,26,0,0,0,0,0,0,0,0,0,50,0,0,0,0,55,45,65,95,0,0,0,0,0,0,0,0,75,40,40,40,35,0,0,0,0,0,99,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,20,5,0,47,20,42,99,33,75,35
Thomas Bryant,78,#13,Washington Wizards,F-C,07/31/97,6-10 / 2.08,241 lbs. / 109.3 kg.,"$8,000,000",USA,2017,2,42,Indiana,Kemba Walker,69,70,70,98,80,80,80,25,28,79,33,26,58,86,83,83,79,48,91,88,85,80,85,80,77,80,30,73,70,78,75,75,75,47,48,75,58,32,52,98,87,0,0,0,0,5,25,65,60,65,30,45,23,3,30,4,10,5,35,55,55,50,50,45,35,85,75,35,25,15,20,30,15,45,85,10,75,25,25,25,80,55,45,75,50,40,60,25,25,35,70,50,90,75,82,99,0,15,15,25,45,65,10,0,0,0,0,0,10,2,4,17,21,0,35,0,0,0,0,0,35,50,10,59,55,44,40,16,0,35
Wendell Carter,78,#34,Chicago Bulls,C,04/16/99,6-9 / 2.06,259 lbs. / 117.5 kg.,"$5,201,400",USA,2018,1,7,Duke,Royce O'Neale,72,67,82,95,76,50,76,55,70,69,59,54,52,95,62,62,65,60,80,95,80,62,68,70,40,75,68,82,78,71,83,68,64,43,51,66,75,32,67,95,80,0,65,5,5,5,25,75,0,0,0,55,0,30,20,1,3,1,0,55,45,35,75,30,20,0,20,0,0,0,0,0,20,5,5,50,0,0,0,0,45,40,45,95,0,0,0,0,0,0,0,0,99,60,45,55,30,55,5,5,15,25,35,0,0,45,10,5,5,19,28,0,0,0,0,0,0,0,0,0,30,10,25,37,0,46,58,12,65,35
Jordan Clarkson,78,#8,Utah Jazz,G,06/07/92,6-4 / 1.93,186 lbs. / 84.4 kg.,"$13,437,500",Philippines,2014,2,46,Missouri,Jaren Jackson Jr.,81,76,75,90,73,71,73,81,76,62,66,62,58,76,59,61,71,68,81,76,90,29,31,33,29,46,79,67,80,79,72,67,80,45,81,90,76,47,59,95,88,75,70,30,75,35,20,30,0,0,0,5,0,43,30,15,24,61,20,55,45,35,65,35,40,10,0,0,40,0,0,0,25,5,5,85,1,0,0,0,40,20,45,90,0,0,0,0,0,0,0,0,99,65,60,60,40,35,0,0,5,15,99,25,5,45,35,10,80,52,55,60,21,20,10,10,35,5,10,18,35,5,0,37,20,32,90,59,99,55
Evan Fournier,78,#10,Orlando Magic,G,10/29/92,6-7 / 2.01,190 lbs. / 86.2 kg.,"$17,150,000",France,2012,1,20,,Malik Monk,53,73,81,75,88,85,75,40,80,78,45,25,62,88,80,81,88,48,88,72,80,76,75,75,56,79,45,68,69,67,73,68,74,42,52,74,45,31,51,95,80,0,55,85,10,0,40,65,55,35,25,45,28,20,30,4,4,9,30,50,55,99,85,50,40,55,65,45,40,20,30,20,20,45,95,15,95,15,45,20,45,35,35,90,40,15,30,15,5,5,35,20,90,55,75,80,20,65,15,15,25,35,35,0,0,0,0,0,15,0,0,0,0,0,35,0,0,0,0,0,45,40,20,66,10,41,45,18,50,81
Eric Gordon,78,#10,Houston Rockets,G,12/25/88,6-3 / 1.91,215 lbs. / 97.5 kg.,"$14,057,730",USA,2008,1,7,Indiana,Alex Caruso,75,69,84,97,80,85,78,35,85,68,29,30,43,68,82,84,85,31,95,76,75,82,79,77,69,68,31,67,65,69,76,65,65,63,53,67,60,44,47,95,80,0,40,40,25,10,25,20,20,25,20,75,0,56,15,1,5,4,5,40,40,30,75,35,15,20,0,0,0,0,0,0,35,5,5,50,0,0,15,0,55,55,65,55,0,0,0,0,0,0,0,0,99,40,40,50,0,25,5,5,15,25,99,0,0,0,0,0,10,0,0,0,0,0,20,0,0,0,0,0,65,10,35,55,40,45,70,69,65,45
JaMychal Green,78,#4,Los Angeles Clippers,F,06/21/90,6-8 / 2.03,220 lbs. / 99.8 kg.,"$4,767,000",USA,2012,Undrafted,Undrafted,Alabama,Kevon Looney,83,85,40,95,62,75,80,65,70,52,62,55,52,85,58,69,63,64,85,96,85,48,60,55,42,66,69,46,74,64,62,64,68,43,70,68,55,93,64,98,80,75,70,10,50,50,5,40,0,0,0,5,0,82,20,1,0,2,5,20,10,0,25,0,10,0,0,0,0,0,0,0,15,5,5,50,0,0,0,0,35,30,65,95,0,0,0,0,0,0,0,0,99,65,40,50,20,0,0,0,10,20,99,15,0,5,15,0,70,0,0,5,10,20,25,0,55,0,0,5,20,25,0,63,10,34,78,46,85,40
Joe Harris,78,#12,Brooklyn Nets,G,09/06/91,6-6 / 1.98,215 lbs. / 97.5 kg.,"$7,666,667",USA,2014,2,33,Virginia,Dzanan Musa,78,74,75,98,75,90,75,40,65,74,60,52,54,98,72,71,75,52,85,70,85,67,74,66,54,68,64,66,64,62,71,60,62,61,40,64,55,32,44,95,80,0,50,0,10,5,20,25,15,5,0,45,0,25,15,3,5,3,15,60,55,60,75,50,36,16,5,5,30,20,5,20,15,0,20,40,0,0,5,0,45,35,35,15,20,15,20,15,5,5,20,5,99,25,55,65,0,30,5,5,15,25,70,0,0,0,0,0,75,12,22,54,39,0,15,0,0,0,0,0,35,25,35,48,20,46,62,16,50,35
Andre Iguodala,78,#9,Miami Heat,G-F,01/28/84,6-6 / 1.98,207 lbs. / 93.9 kg.,"$17,185,185",USA,2004,1,9,Arizona,Kevin Garnett,80,64,39,59,60,65,75,75,75,52,74,70,70,80,59,59,67,64,90,70,98,37,50,48,32,55,70,41,78,88,41,85,80,65,70,80,70,72,72,85,97,95,85,75,75,45,5,15,10,10,25,20,60,37,80,63,1,36,65,88,69,0,0,54,95,80,25,6,0,2,4,4,45,55,0,75,0,0,0,99,25,25,25,50,0,0,0,0,0,0,0,0,75,40,75,99,20,0,1,12,18,35,3,26,60,50,20,10,25,30,20,40,40,20,20,20,5,10,5,13,72,15,0,60,80,66,80,69,54,80
Caris LeVert,78,#22,Brooklyn Nets,G,08/25/94,6-6 / 1.98,191 lbs. / 86.6 kg.,"$2,625,717",USA,2016,1,20,Michigan,Norman Powell,89,47,83,97,83,85,77,25,85,54,28,30,32,88,79,83,80,46,80,80,80,77,76,68,43,75,50,79,77,78,78,74,57,49,50,57,80,33,53,95,80,0,70,25,5,5,70,55,40,5,20,40,13,35,20,4,9,5,5,50,45,65,70,45,36,50,25,10,0,8,10,0,12,45,45,25,0,0,0,35,55,55,65,95,65,45,30,35,50,30,60,35,70,60,55,60,20,35,0,0,5,15,99,0,0,0,0,0,10,7,9,11,11,0,0,0,15,0,0,0,40,35,25,64,10,59,75,20,75,71
Marcus Morris,78,#0,Los Angeles Clippers,F,09/02/89,6-8 / 2.03,235 lbs. / 106.6 kg.,"$15,000,000",USA,2011,1,14,Kansas,Pat Connaughton,84,77,80,98,73,95,80,30,85,74,30,35,34,98,77,78,95,45,95,95,80,65,70,60,48,62,35,70,50,65,74,44,72,40,56,64,30,50,63,98,80,0,60,20,25,5,10,50,0,0,0,10,0,25,15,1,4,1,5,55,45,50,75,40,20,36,15,0,0,0,0,0,5,0,0,50,0,0,0,0,40,65,55,95,15,5,15,0,0,5,40,30,80,45,40,45,0,50,5,5,15,25,99,0,0,0,0,0,10,0,0,33,33,0,20,0,20,0,0,0,55,25,0,40,10,34,86,14,60,40
Dejounte Murray,78,#5,San Antonio Spurs,G,09/19/96,6-4 / 1.93,170 lbs. / 77.1 kg.,"$2,321,735",USA,2016,1,29,Washington,Semi Ojeleye,74,70,79,95,62,95,82,75,80,55,64,57,55,80,82,84,85,68,85,85,89,55,71,54,30,58,65,59,57,51,69,58,56,35,40,54,35,46,52,98,80,35,70,0,0,10,5,35,0,0,0,15,0,10,10,4,3,5,5,40,30,40,65,45,25,15,0,0,15,0,0,5,5,5,5,50,0,0,0,0,40,30,35,75,15,0,10,0,0,0,15,0,75,45,25,40,40,75,0,0,5,15,99,5,0,0,0,0,75,0,2,19,19,0,0,0,40,0,0,0,20,20,0,58,40,46,68,19,55,35
Larry Nance Jr,78,#22,Cleveland Cavaliers,F,01/01/93,6-7 / 2.01,227 lbs. / 103 kg.,"$12,727,273",USA,2015,1,27,Wyoming,Steven Adams,86,63,25,97,45,70,69,80,65,69,67,58,57,74,43,32,63,76,88,92,79,28,30,37,27,63,85,50,85,88,58,73,80,54,58,96,85,86,58,95,83,80,80,15,75,75,5,10,0,0,0,65,54,65,30,19,0,81,0,10,0,0,25,0,0,0,0,0,0,0,0,0,60,80,0,85,0,0,0,0,30,15,55,90,0,0,0,0,0,0,0,0,99,65,50,60,99,0,0,0,0,0,75,35,5,0,60,55,70,65,55,0,8,60,5,0,50,0,30,15,15,0,0,66,0,48,79,43,60,76
Kelly Olynyk,78,#9,Miami Heat,C,04/19/91,6-11 / 2.11,234 lbs. / 106.1 kg.,"$12,667,885",Canada,2013,1,13,Gonzaga,Steven Adams,86,63,25,97,45,70,69,80,65,69,67,58,57,74,43,32,63,76,88,92,79,28,30,37,27,63,85,50,85,88,58,73,80,54,58,96,85,86,58,95,83,80,80,15,75,75,5,10,0,0,0,65,54,65,30,19,0,81,0,10,0,0,25,0,0,0,0,0,0,0,0,0,60,80,0,85,0,0,0,0,30,15,55,90,0,0,0,0,0,0,0,0,99,65,50,60,99,0,0,0,0,0,75,35,5,0,60,55,70,65,55,0,8,60,5,0,50,0,30,15,15,0,0,66,0,48,79,43,60,76
Kelly Oubre,78,#3,Phoenix Suns,F-G,12/09/95,6-7 / 2.01,203 lbs. / 92.1 kg.,"$15,625,000",USA,2015,1,15,Kansas,Torrey Craig,74,56,78,98,70,85,70,35,60,48,55,40,52,70,63,61,73,49,80,95,80,58,69,52,32,50,66,79,79,80,81,75,70,40,67,70,80,56,56,85,80,0,55,0,5,50,0,94,0,0,0,45,0,35,10,4,3,6,20,60,50,35,75,50,40,35,15,0,0,0,5,5,0,0,5,50,0,0,0,0,35,25,20,95,15,0,0,0,0,0,15,0,99,20,35,45,20,45,0,0,5,15,99,0,5,0,0,0,10,8,5,5,5,0,0,0,20,0,0,0,40,0,15,15,0,40,78,45,70,0
Jabari Parker,78,#0,Sacramento Kings,F,03/15/95,6-8 / 2.03,235 lbs. / 106.6 kg.,"$6,500,000",USA,2014,1,2,Duke,Marcus Smart,60,63,70,90,75,25,59,25,44,31,60,25,52,74,69,76,80,64,74,84,80,68,73,64,62,59,53,85,89,86,85,79,79,85,45,90,84,32,40,95,82,0,45,0,25,10,35,99,50,35,5,45,8,31,30,5,60,35,10,40,40,55,70,35,20,30,0,0,15,0,0,0,5,75,75,0,0,0,15,25,60,35,35,95,60,20,20,20,20,25,40,40,80,45,60,65,55,30,15,15,25,35,75,20,0,0,10,0,55,4,11,31,16,0,20,0,20,0,0,0,65,40,35,76,60,72,35,24,60,45
